peer-type,system-ip,local-color,remote-color,uptime,site-id,protocol,state
vsmart,9.9.9.30,private1,default,0:10:44:57,999,dtls,up
vsmart,9.9.9.30,biz-internet,default,0:13:36:11,999,dtls,up
vmanage,9.9.9.20,biz-internet,default,0:13:36:11,999,dtls,up
